0 11 -nan(ind) -nan(ind) 21 -nan(ind) -nan(ind) 12 -nan(ind) -nan(ind) 22 -nan(ind) -nan(ind) 13 -nan(ind) -nan(ind) 23 -nan(ind) -nan(ind) 
6100 11 1.267961 0.221596 21 1.086469 0.181993 12 4.798770 1.031230 22 4.848934 1.032377 13 2.868525 0.675410 23 2.904918 0.669016 
6200 11 1.255430 0.213659 21 1.084722 0.182546 12 4.780887 1.025968 22 4.848226 1.035645 13 2.856210 0.688306 23 2.891129 0.656452 
6300 11 1.253412 0.215020 21 1.093768 0.185147 12 4.857460 1.028889 22 4.834365 1.011111 13 2.887857 0.700079 23 2.955397 0.652063 
6400 11 1.267170 0.219867 21 1.109970 0.183822 12 4.833594 1.034687 22 4.842656 1.027656 13 2.981719 0.711328 23 2.949844 0.662891 
6500 11 1.248001 0.217067 21 1.094168 0.180360 12 4.802154 1.032154 22 4.860462 1.041462 13 2.883462 0.705077 23 2.937615 0.676462 
6600 11 1.247847 0.214925 21 1.091936 0.178957 12 4.767121 1.017424 22 4.698864 1.028788 13 2.897348 0.691212 23 2.919924 0.669167 
6700 11 1.258190 0.221275 21 1.102249 0.184028 12 4.785970 1.017463 22 4.880000 1.027090 13 2.870522 0.696716 23 2.937015 0.664851 
6800 11 1.264964 0.217733 21 1.095761 0.179828 12 4.860735 1.043824 22 4.862794 1.044559 13 2.799191 0.679559 23 2.880147 0.665515 
6900 11 1.256394 0.213001 21 1.094234 0.183092 12 4.795797 0.999348 22 4.841812 1.028986 13 2.913623 0.700435 23 2.872609 0.675942 
7000 11 1.262473 0.218835 21 1.101717 0.184116 12 4.724643 1.002000 22 4.844500 1.020714 13 2.948714 0.712571 23 2.868929 0.658929 
7100 11 1.256808 0.226944 21 1.090146 0.184504 12 4.793169 1.022394 22 4.945000 1.047887 13 2.911338 0.715775 23 2.942465 0.661338 
7200 11 1.256949 0.216511 21 1.096814 0.180213 12 4.850972 1.022222 22 4.831250 1.012153 13 2.911736 0.695694 23 2.940764 0.659167 
7300 11 1.256953 0.220011 21 1.097930 0.188220 12 4.880000 1.043288 22 4.852260 1.045479 13 2.924041 0.715753 23 2.876164 0.681781 
7400 11 1.258917 0.217064 21 1.091057 0.184322 12 4.867838 1.024459 22 4.872905 1.026554 13 2.875608 0.673041 23 2.925676 0.659730 
7500 11 1.264219 0.215758 21 1.094517 0.182068 12 4.777467 1.024333 22 4.861400 1.027667 13 2.890333 0.682267 23 2.879133 0.646467 
7600 11 1.270094 0.216664 21 1.093785 0.182523 12 4.810724 1.029276 22 4.804145 1.030329 13 2.894211 0.696776 23 2.942368 0.672237 
7700 11 1.254794 0.217533 21 1.103570 0.180199 12 4.797857 1.035584 22 4.776299 1.019221 13 2.948831 0.709870 23 2.928571 0.670519 
7800 11 1.262612 0.217320 21 1.099289 0.186312 12 4.798654 1.024038 22 4.836218 1.023782 13 2.924359 0.682821 23 2.857692 0.671218 
7900 11 1.258438 0.216879 21 1.097367 0.185003 12 4.812215 1.012975 22 4.752089 1.003038 13 2.902468 0.696139 23 2.914937 0.650570 
8000 11 1.268628 0.217956 21 1.094050 0.182648 12 4.827000 1.031937 22 4.783375 1.019187 13 2.931188 0.705562 23 2.966250 0.669875 
8100 11 1.260509 0.216731 21 1.100974 0.182049 12 4.855864 1.015432 22 4.863889 1.025370 13 2.919321 0.688457 23 2.893827 0.639198 
8200 11 1.266050 0.219860 21 1.097563 0.182525 12 4.760366 0.999512 22 4.818476 1.006524 13 2.878049 0.669451 23 2.887012 0.662134 
8300 11 1.256427 0.218733 21 1.088828 0.177471 12 4.926807 1.040060 22 4.812651 1.020663 13 2.923133 0.687651 23 2.905422 0.640663 
8400 11 1.257595 0.214137 21 1.093696 0.182471 12 4.843690 1.009881 22 4.791548 1.011607 13 2.916786 0.689821 23 2.922798 0.661190 
8500 11 1.261042 0.214609 21 1.087798 0.179375 12 4.879471 1.035882 22 4.869824 1.031941 13 2.898529 0.705882 23 2.904824 0.666471 
8600 11 1.261262 0.219250 21 1.096269 0.178561 12 4.894942 1.025814 22 4.846977 0.999244 13 2.881105 0.685407 23 2.955756 0.663198 
8700 11 1.261767 0.218543 21 1.103083 0.178076 12 4.779483 1.003103 22 4.881494 1.039023 13 2.892816 0.686034 23 2.933506 0.658678 
8800 11 1.264615 0.219327 21 1.096064 0.179074 12 4.842386 1.025398 22 4.830000 1.022273 13 2.916364 0.685000 23 2.922841 0.650511 
8900 11 1.273494 0.219176 21 1.103375 0.180898 12 4.828315 1.010000 22 4.875618 1.028202 13 2.930899 0.681966 23 2.932079 0.652022 
9000 11 1.268017 0.217004 21 1.101706 0.183530 12 4.737167 1.015833 22 4.771333 1.015167 13 2.883778 0.687222 23 2.919056 0.658944 
